persona_idno,persona_x_lugares_id,documento_idno,lugar_id,situacion_lugar,ordinal
mx-sv-per-000081,86,mx-sv-doc-000017,2,,1
mx-sv-per-000604,634,mx-sv-doc-000017,13,Vecindad,1
mx-sv-per-000082,87,mx-sv-doc-000018,14,,1
mx-sv-per-000082,88,mx-sv-doc-000018,3,,1
mx-sv-per-000083,89,mx-sv-doc-000018,3,,1
mx-sv-per-000084,90,mx-sv-doc-000018,14,,-1
mx-sv-per-000085,91,mx-sv-doc-000018,3,,1
mx-sv-per-000086,92,mx-sv-doc-000019,3,,1
mx-sv-per-000087,93,mx-sv-doc-000019,3,vecino,1
mx-sv-per-000089,94,mx-sv-doc-000019,3,vecino,1
mx-sv-per-000090,95,mx-sv-doc-000020,15,,-1
mx-sv-per-000090,96,mx-sv-doc-000020,3,,1
mx-sv-per-000092,97,mx-sv-doc-000020,3,vecino,1
mx-sv-per-000095,98,mx-sv-doc-000021,3,Vecindad,1
mx-sv-per-000096,99,mx-sv-doc-000021,3,vecino,1
mx-sv-per-000097,100,mx-sv-doc-000021,13,vecino,1
mx-sv-per-000099,101,mx-sv-doc-000022,16,,1
mx-sv-per-000099,102,mx-sv-doc-000022,17,lugar anterior 1,-1
mx-sv-per-000100,103,mx-sv-doc-000022,16,,1
mx-sv-per-000101,104,mx-sv-doc-000022,3,Vecindad,1
mx-sv-per-000103,105,mx-sv-doc-000023,3,Residencia,1
mx-sv-per-000103,106,mx-sv-doc-000023,19,lugar anterior 1,-1
mx-sv-per-000104,107,mx-sv-doc-000023,3,Residente,1
mx-sv-per-000106,108,mx-sv-doc-000023,19,,1
mx-sv-per-000107,109,mx-sv-doc-000024,3,Vecindad,1
mx-sv-per-000108,110,mx-sv-doc-000024,3,vecino,1
mx-sv-per-000109,111,mx-sv-doc-000024,3,vecino,1
mx-sv-per-000110,112,mx-sv-doc-000024,3,,1
mx-sv-per-000115,115,mx-sv-doc-000025,3,Vecindad,1
mx-sv-per-000116,116,mx-sv-doc-000025,3,vecino,1
mx-sv-per-000118,117,mx-sv-doc-000025,2,,1
mx-sv-per-000120,118,mx-sv-doc-000025,2,lugar anterior 1,-1
mx-sv-per-000121,118,mx-sv-doc-000025,2,lugar anterior 1,-1
mx-sv-per-000114,118,mx-sv-doc-000025,2,lugar anterior 1,-1
mx-sv-per-000119,118,mx-sv-doc-000025,2,lugar anterior 1,-1
mx-sv-per-000114,119,mx-sv-doc-000025,3,,1
mx-sv-per-000114,654,mx-sv-doc-000025,2,,-2
mx-sv-per-000119,655,mx-sv-doc-000025,2,,1
mx-sv-per-000120,656,mx-sv-doc-000025,2,,1
mx-sv-per-000121,657,mx-sv-doc-000025,2,,1
mx-sv-per-000122,122,mx-sv-doc-000026,3,,1
mx-sv-per-000217,209,mx-sv-doc-000026,3,,1
mx-sv-per-000218,210,mx-sv-doc-000026,3,,1
mx-sv-per-000220,211,mx-sv-doc-000026,3,,-1
mx-sv-per-000220,212,mx-sv-doc-000026,3,,1
mx-sv-per-000222,219,mx-sv-doc-000026,3,,1
mx-sv-per-000221,734,mx-sv-doc-000026,3,,-1
mx-sv-per-000221,735,mx-sv-doc-000026,3,,1
mx-sv-per-000123,123,mx-sv-doc-000027,23,lugar anterior 1,-1
mx-sv-per-000123,124,mx-sv-doc-000027,23,,1
mx-sv-per-000124,125,mx-sv-doc-000027,23,vecino,1
mx-sv-per-000125,126,mx-sv-doc-000027,23,vecino,1
mx-sv-per-000126,127,mx-sv-doc-000028,22,lugar anterior 1,-1
mx-sv-per-000126,128,mx-sv-doc-000028,22,,1
mx-sv-per-000128,129,mx-sv-doc-000028,22,,-1
mx-sv-per-000127,129,mx-sv-doc-000028,22,,-1
mx-sv-per-000128,130,mx-sv-doc-000028,22,,1
mx-sv-per-000127,130,mx-sv-doc-000028,22,,1
mx-sv-per-000129,131,mx-sv-doc-000028,22,vecino,1
mx-sv-per-000130,132,mx-sv-doc-000028,22,vecino,1
mx-sv-per-000132,133,mx-sv-doc-000029,24,Estancia,1
mx-sv-per-000133,134,mx-sv-doc-000029,24,vecino,1
mx-sv-per-000134,135,mx-sv-doc-000029,22,vecino,1
mx-sv-per-000135,136,mx-sv-doc-000029,22,vecino,1
mx-sv-per-000136,137,mx-sv-doc-000030,22,lugar anterior 1,-1
mx-sv-per-000136,138,mx-sv-doc-000030,22,,1
mx-sv-per-000137,139,mx-sv-doc-000030,22,vecino,1
mx-sv-per-000138,140,mx-sv-doc-000030,22,vecino,1
mx-sv-per-000140,141,mx-sv-doc-000031,22,vecino,1
mx-sv-per-000141,142,mx-sv-doc-000031,26,vecino,1
mx-sv-per-000139,143,mx-sv-doc-000031,22,lugar anterior 1,-1
mx-sv-per-000141,144,mx-sv-doc-000031,26,,1
mx-sv-per-000139,145,mx-sv-doc-000031,26,,1
mx-sv-per-000142,146,mx-sv-doc-000032,27,lugar anterior 1,-1
mx-sv-per-000143,146,mx-sv-doc-000032,27,lugar anterior 1,-1
mx-sv-per-000142,147,mx-sv-doc-000032,22,,1
mx-sv-per-000143,147,mx-sv-doc-000032,22,,1
mx-sv-per-000144,148,mx-sv-doc-000032,26,vecino,1
mx-sv-per-000145,149,mx-sv-doc-000032,22,vecino,1
mx-sv-per-000146,150,mx-sv-doc-000033,22,,1
mx-sv-per-000147,151,mx-sv-doc-000033,22,Residente,1
mx-sv-per-000148,152,mx-sv-doc-000033,22,vecino,1
mx-sv-per-000149,153,mx-sv-doc-000034,22,,1
mx-sv-per-000150,154,mx-sv-doc-000034,22,Residente,1
mx-sv-per-000151,155,mx-sv-doc-000034,22,vecino,1
mx-sv-per-000152,156,mx-sv-doc-000035,22,,1
mx-sv-per-000154,157,mx-sv-doc-000035,22,vecino,1
mx-sv-per-000156,158,mx-sv-doc-000036,22,,1
mx-sv-per-000157,159,mx-sv-doc-000036,22,vecino,1
mx-sv-per-000158,160,mx-sv-doc-000036,22,vecino,1
mx-sv-per-000159,161,mx-sv-doc-000037,28,,1
mx-sv-per-000160,162,mx-sv-doc-000037,29,vecino,1
mx-sv-per-000161,163,mx-sv-doc-000037,28,vecino,1
mx-sv-per-000162,164,mx-sv-doc-000038,22,lugar anterior 1,-1
mx-sv-per-000162,165,mx-sv-doc-000038,22,,1
mx-sv-per-000164,166,mx-sv-doc-000038,22,vecino,1
mx-sv-per-000165,167,mx-sv-doc-000038,22,vecino,1
mx-sv-per-000166,168,mx-sv-doc-000039,22,lugar anterior 1,-1
mx-sv-per-000167,168,mx-sv-doc-000039,22,lugar anterior 1,-1
mx-sv-per-000166,169,mx-sv-doc-000039,28,,1
mx-sv-per-000167,169,mx-sv-doc-000039,28,,1
mx-sv-per-000169,170,mx-sv-doc-000039,22,vecino,1
mx-sv-per-000170,171,mx-sv-doc-000039,28,vecino,1
mx-sv-per-000171,172,mx-sv-doc-000040,22,,1
mx-sv-per-000173,173,mx-sv-doc-000040,22,Residente,1
mx-sv-per-000174,174,mx-sv-doc-000040,22,vecino,1
mx-sv-per-000175,175,mx-sv-doc-000041,30,,1
mx-sv-per-000177,176,mx-sv-doc-000041,22,Residente,1
mx-sv-per-000178,177,mx-sv-doc-000041,30,vecino,1
mx-sv-per-000179,178,mx-sv-doc-000042,22,,1
mx-sv-per-000181,179,mx-sv-doc-000042,22,Residente,1
mx-sv-per-000182,180,mx-sv-doc-000042,22,vecino,1
mx-sv-per-000183,181,mx-sv-doc-000043,28,,1
mx-sv-per-000185,182,mx-sv-doc-000043,22,vecino,1
mx-sv-per-000186,183,mx-sv-doc-000043,28,vecino,1
mx-sv-per-000189,184,mx-sv-doc-000044,22,Residente,1
mx-sv-per-000191,185,mx-sv-doc-000045,23,lugar anterior 1,-1
mx-sv-per-000191,186,mx-sv-doc-000045,31,,1
mx-sv-per-000192,187,mx-sv-doc-000045,23,vecino,1
mx-sv-per-000193,188,mx-sv-doc-000045,31,vecino,1
mx-sv-per-000194,189,mx-sv-doc-000046,22,,1
mx-sv-per-000196,190,mx-sv-doc-000046,22,Residente,1
mx-sv-per-000197,191,mx-sv-doc-000046,22,,1
mx-sv-per-000198,192,mx-sv-doc-000047,22,,1
mx-sv-per-000200,193,mx-sv-doc-000047,22,Residente,1
mx-sv-per-000201,194,mx-sv-doc-000047,22,vecino,1
mx-sv-per-000202,195,mx-sv-doc-000048,22,,1
mx-sv-per-000204,196,mx-sv-doc-000048,22,Residente,1
mx-sv-per-000205,197,mx-sv-doc-000048,22,,1
mx-sv-per-000206,198,mx-sv-doc-000049,22,,1
mx-sv-per-000208,199,mx-sv-doc-000049,22,Residente,1
mx-sv-per-000209,200,mx-sv-doc-000049,22,vecino,1
mx-sv-per-000210,201,mx-sv-doc-000050,22,lugar anterior 1,-1
mx-sv-per-000210,202,mx-sv-doc-000050,22,,1
mx-sv-per-000211,203,mx-sv-doc-000050,22,vecino,1
mx-sv-per-000212,204,mx-sv-doc-000050,22,vecino,1
mx-sv-per-000213,205,mx-sv-doc-000051,22,,1
mx-sv-per-000214,206,mx-sv-doc-000051,33,vecino,1
mx-sv-per-000215,207,mx-sv-doc-000051,22,Residente,1
mx-sv-per-000216,208,mx-sv-doc-000051,22,vecino,1
mx-sv-per-000223,220,mx-sv-doc-000052,3,,1
mx-sv-per-000224,736,mx-sv-doc-000052,3,Vecindad,1
mx-sv-per-000677,737,mx-sv-doc-000052,3,Vecindad,1
mx-sv-per-000225,221,mx-sv-doc-000053,22,,-1
mx-sv-per-000225,222,mx-sv-doc-000053,22,vecino,1
mx-sv-per-000226,223,mx-sv-doc-000053,22,,1
mx-sv-per-000227,223,mx-sv-doc-000053,22,,1
mx-sv-per-000228,224,mx-sv-doc-000055,22,lugar anterior 1,-1
mx-sv-per-000228,225,mx-sv-doc-000055,22,,1
mx-sv-per-000229,226,mx-sv-doc-000055,22,vecino,1
mx-sv-per-000230,227,mx-sv-doc-000055,22,vecino,1
mx-sv-per-000231,228,mx-sv-doc-000055,22,vecino,1
mx-sv-per-000232,229,mx-sv-doc-000056,22,,1
mx-sv-per-000233,230,mx-sv-doc-000056,33,vecino,1
mx-sv-per-000234,231,mx-sv-doc-000056,22,Residente,1
mx-sv-per-000235,232,mx-sv-doc-000056,22,vecino,1
mx-sv-per-000237,233,mx-sv-doc-000057,24,Residente,1
mx-sv-per-000238,234,mx-sv-doc-000057,22,Residente,1
mx-sv-per-000239,235,mx-sv-doc-000057,22,vecino,1
mx-sv-per-000240,236,mx-sv-doc-000058,22,,1
mx-sv-per-000240,237,mx-sv-doc-000058,35,lugar anterior 1,-1
mx-sv-per-000241,238,mx-sv-doc-000058,35,,1
mx-sv-per-000244,239,mx-sv-doc-000059,22,lugar anterior 1,-1
mx-sv-per-000244,240,mx-sv-doc-000059,22,,1
mx-sv-per-000245,241,mx-sv-doc-000059,22,vecino,1
mx-sv-per-000246,242,mx-sv-doc-000059,22,vecino,1
mx-sv-per-000249,243,mx-sv-doc-000060,22,vecino,1
mx-sv-per-000251,244,mx-sv-doc-000060,22,vecino,1
mx-sv-per-000248,245,mx-sv-doc-000060,24,lugar anterior 1,-1
mx-sv-per-000247,245,mx-sv-doc-000060,24,lugar anterior 1,-1
mx-sv-per-000248,246,mx-sv-doc-000060,22,,1
mx-sv-per-000247,246,mx-sv-doc-000060,22,,1
mx-sv-per-000252,247,mx-sv-doc-000061,36,,1
mx-sv-per-000237,248,mx-sv-doc-000061,24,Residente,1
mx-sv-per-000238,249,mx-sv-doc-000061,22,Residente,1
mx-sv-per-000253,250,mx-sv-doc-000061,36,vecino,1
mx-sv-per-000254,251,mx-sv-doc-000062,22,,1
mx-sv-per-000256,252,mx-sv-doc-000062,22,vecino,1
mx-sv-per-000257,253,mx-sv-doc-000063,22,,-1
mx-sv-per-000257,254,mx-sv-doc-000063,22,,1
mx-sv-per-000258,255,mx-sv-doc-000063,22,,1
mx-sv-per-000259,256,mx-sv-doc-000063,22,vecino,1
mx-sv-per-000260,257,mx-sv-doc-000064,22,,-1
mx-sv-per-000260,258,mx-sv-doc-000064,22,vecino,1
mx-sv-per-000261,259,mx-sv-doc-000064,22,vecino,1
mx-sv-per-000262,260,mx-sv-doc-000064,22,vecino,1
mx-sv-per-000263,261,mx-sv-doc-000065,37,,-2
mx-sv-per-000263,262,mx-sv-doc-000065,22,,1
mx-sv-per-000263,263,mx-sv-doc-000065,22,,-1
mx-sv-per-000264,264,mx-sv-doc-000065,22,vecino,1
mx-sv-per-000265,265,mx-sv-doc-000065,22,,1
mx-sv-per-000266,266,mx-sv-doc-000066,22,,-1
mx-sv-per-000266,267,mx-sv-doc-000066,22,,-1
mx-sv-per-000266,268,mx-sv-doc-000066,22,,1
mx-sv-per-000267,269,mx-sv-doc-000066,22,,1
mx-sv-per-000268,270,mx-sv-doc-000066,22,vecino,1
mx-sv-per-000269,271,mx-sv-doc-000067,22,,-1
mx-sv-per-000269,272,mx-sv-doc-000067,22,,1
