lugar_id,nombre_lugar,otros_nombres,tipo,es_parte_de_lugar_id,lat,lon
351,Minas de Izatlán [Etzatlán],,real,,,
357,Tierra Casanga,,region,,,
182,Biafra,,region,,6.450000,7.500000
269,Banol,Casamance,region,113,12.556100,-16.762200
138,Jora,,real,,27.164930,-107.721570
139,Celaya,,villa,,20.523530,-100.815700
141,Xalpantepeque,,pueblo,,,
142,San Jacinto,,pueblo,,17.101880,-96.762280
143,Salamanca,,villa,,20.571960,-101.191540
144,San Felipe y Santiago de Sinaloa,,villa,,,
145,Ahuacatlán,,villa,,21.045170,-104.541260
147,Atzalán,,ciudad,,19.824720,-97.444170
148,Santa María Nativitas,,pueblo,,19.579260,-99.609000
149,Izúcar,,ciudad,,18.601570,-98.461520
150,Ayutla,,pueblo,,16.963760,-99.096160
152,Zacatula,,provincia,,16.779120,-99.090060
153,Tlacoatzintepec,,pueblo,,17.859850,-96.586470
154,Habana,,ciudad,,22.611520,-102.154510
155,Mérida,,ciudad,,20.970000,-89.620000
156,Valladolid (Morelia),,ciudad,,19.695890,-101.217640
157,Filipinas,,isla,,15.971670,-93.328330
158,Cihuatlán,,villa,,19.238280,-104.647280
159,San Juan de Ulúa,,ciudad,,19.208890,-96.131060
160,Amozoc,,ciudad,,19.046110,-98.045000
161,"San Lorenzo, jurisdicción de Guaxolotitlan",,pueblo,,,
162,Compostela,,ciudad,,21.147870,-105.089890
163,Atoyac,,villa,,17.206670,-100.433060
164,Guachinango,,real,,20.700000,-104.433333
165,Manila,,ciudad,,27.717640,-103.853100
166,Acapulco,,ciudad,,16.862870,-99.887009
167,Santo Domigo Latani,,pueblo,,,
168,Chietla,,ciudad,,18.504960,-98.624510
169,Santa María Yahuivé,,pueblo,,17.364690,-95.825310
170,Chacaltianguis,,pueblo,,18.305280,-95.841670
171,San Andrés Chalchicomula,,ciudad,,19.001610,-97.497870
172,Tierra Malenba,,region,,,
173,Ahuacatitlan,,pueblo,,18.709770,-100.284190
174,Chimaltitlán,,villa,,18.670760,-99.611250
175,Taxco,,ciudad,,18.554620,-99.605920
176,Acayucan,,ciudad,,17.949790,-94.913860
177,Brasil,,region,,19.415300,-99.213900
178,San Cristóbal de las Casas,,ciudad,,16.737022,-92.637564
179,Huajupam,,pueblo,,,
180,Huajuapan,,pueblo,,17.807870,-97.779560
183,San Antonio de Suchitepéquez,,pueblo,,14.539380,-91.414420
184,Tehuantepec,,pueblo,,16.324630,-95.241040
185,Yepes (España),,pueblo,,39.901990,-3.625170
186,Mezquitán,,real,,20.691400,-103.354000
187,Ahuatlán,,pueblo,,18.954440,-99.257220
188,Cuernavaca,,villa,,18.926100,-99.230750
189,Chapala,,villa,,20.260670,-103.027020
190,Congo,,region,,17.531080,-99.028800
191,Tierra Cafre,,region,,,
192,Acaponeta,,villa,,22.481460,-105.330540
193,San Marcial,,real,,16.030000,-96.400000
194,Pátzcuaro,,villa,,19.625530,-101.640170
195,Villa de los Lagos,,villa,,21.214720,-102.281670
196,"Sonsonate, El Salvador",,villa,,13.718890,-89.724170
197,Malinaltepeque,,region,,,
366,Tacuba,,pueblo,,19.455900,-99.185700
352,Minas de San Luis Potosí,,real,,,
42,Nueva Veracruz,,ciudad,,19.180950,-96.142900
2,Veracruz,,ciudad,,19.180950,-96.142900
358,Isla Canaria,,isla,,28.460221,-16.246423
1,Oaxaca de Juarez,,ciudad,,17.065420,-96.723650
3,Antequera,,ciudad,,17.123890,-96.781670
4,Ujlapa del Marquesado de Oaxaca,,pueblo,,,
367,Santa Maria Ixcuintepec Peñoles de Iteobeipa,,pueblo,,,
75,Ixtepeji,,pueblo,,17.267680,-96.563690
368,Toluca,,ciudad,,19.292222,-99.653889
146,Ciudad de México,,ciudad,,19.419444,-99.145556
214,Guaxolotitlan,,region,,,
215,Teotitlan,,region,,17.022750,-96.527960
198,Atlahuaca,,region,,18.483333,-95.866667
199,Yolox,,pueblo,,17.589070,-96.552350
200,"Santamaria, reino de Castilla",,puerto,,,
201,"Apoala, jurisdicción de Yanhuitlan",,pueblo,,,
202,Peñoles,,region,,17.077778,-97.001389
203,Jamiltepec,,pueblo,,16.282580,-97.824460
204,Jalatlaco,,pueblo,,17.067330,-96.716470
205,Cuicatlan,,region,,17.802778,-96.959444
206,Tulancingo,,ciudad,,20.083550,-98.362880
207,Chimaltitán,,real,,21.733333,-103.700000
208,San Luis Potosí,,ciudad,,22.149722,-100.975000
209,Totomehuacan,,pueblo,,,
210,Motaje,,real,,22.397778,-105.246389
211,La Magdalena,,real,,25.337222,-112.113056
212,Sombrerete,,real,,23.634660,-103.642440
213,"Pinula, Guatemala",,pueblo,,,
353,Totiquipaque,,real,,,
216,Tequila,,villa,,20.882050,-103.835990
217,Montegrande,,real,,16.051940,-93.078330
218,Amajac,,real,,21.252300,-98.781300
219,Yanhuitlán,,pueblo,,17.528610,-97.342600
220,Tlaxiaco,,pueblo,,17.269160,-97.680530
221,Petlalcingo,,pueblo,,18.084630,-97.917500
222,Tonalá,,pueblo,,20.624450,-103.234230
223,Jicayán,,pueblo,,16.451790,-98.014250
224,"Ysquinta, Guatemala",,pueblo,,,
225,"Mapastepeque, Soconusco",,pueblo,,,
226,Tequepexpan,,villa,,20.602180,-103.399750
227,"Córdoba, Veracruz",,pueblo,,18.884200,-96.925590
228,Santo Domingo,,pueblo,,16.324630,-95.241040
229,Santiago,,pueblo,,20.588060,-100.388060
230,Magdalena Apasco,,pueblo,,17.240830,-96.820830
231,San Pedro Guamesula,,pueblo,,,
232,Chiapa de la Real,,pueblo,,,
233,Durango,,villa,,32.249167,-115.251667
234,San José del Parral,,real,,27.511610,-105.075440
235,Minas de la Resurrección,,real,,,
236,Sayula,,villa,,19.877200,-103.573370
