persona_idno,documento_idno,rol_evento
mx-sv-per-001576,mx-sv-doc-000469,comprador
mx-sv-per-001575,mx-sv-doc-000470,Vendedor
mx-sv-per-001578,mx-sv-doc-000470,comprador
mx-sv-per-001580,mx-sv-doc-000471,otorgante
mx-sv-per-001581,mx-sv-doc-000471,comprador
mx-sv-per-008853,mx-sv-doc-003299,Vendedor
mx-sv-per-008692,mx-sv-doc-003299,comprador
mx-sv-per-008364,mx-sv-doc-003011,Vendedor
mx-sv-per-008365,mx-sv-doc-003011,Vendedor
mx-sv-per-008366,mx-sv-doc-003011,intermediario
mx-sv-per-008367,mx-sv-doc-003011,comprador
mx-sv-per-008595,mx-sv-doc-003158,Vendedor
mx-sv-per-008642,mx-sv-doc-003158,comprador
mx-sv-per-001517,mx-sv-doc-000472,otorgante
mx-sv-per-001583,mx-sv-doc-000472,comprador
mx-sv-per-001585,mx-sv-doc-000473,otorgante
mx-sv-per-001586,mx-sv-doc-000473,Dueño Difunto
mx-sv-per-001077,mx-sv-doc-000473,comprador
mx-sv-per-001588,mx-sv-doc-000474,otorgante
mx-sv-per-001589,mx-sv-doc-000474,comprador
mx-sv-per-001594,mx-sv-doc-000476,otorgante
mx-sv-per-001595,mx-sv-doc-000476,comprador
mx-sv-per-001598,mx-sv-doc-000477,otorgante
mx-sv-per-001599,mx-sv-doc-000477,comprador
mx-sv-per-001601,mx-sv-doc-000478,otorgante
mx-sv-per-001473,mx-sv-doc-000478,comprador
mx-sv-per-001603,mx-sv-doc-000479,otorgante
mx-sv-per-001604,mx-sv-doc-000479,comprador
mx-sv-per-001606,mx-sv-doc-000480,otorgante
mx-sv-per-001607,mx-sv-doc-000480,comprador
mx-sv-per-008692,mx-sv-doc-003300,Vendedor
mx-sv-per-008854,mx-sv-doc-003300,comprador
mx-sv-per-008369,mx-sv-doc-003012,Vendedor
mx-sv-per-007340,mx-sv-doc-003012,comprador
mx-sv-per-007512,mx-sv-doc-003159,Vendedor
mx-sv-per-008578,mx-sv-doc-003159,comprador
mx-sv-per-001609,mx-sv-doc-000481,otorgante
mx-sv-per-001606,mx-sv-doc-000481,comprador
mx-sv-per-001497,mx-sv-doc-000482,otorgante
mx-sv-per-001611,mx-sv-doc-000482,comprador
mx-sv-per-001613,mx-sv-doc-000483,otorgante
mx-sv-per-001614,mx-sv-doc-000483,comprador
mx-sv-per-001615,mx-sv-doc-000484,otorgante
mx-sv-per-001598,mx-sv-doc-000484,comprador
mx-sv-per-001617,mx-sv-doc-000485,otorgante
mx-sv-per-000561,mx-sv-doc-000485,comprador
mx-sv-per-001619,mx-sv-doc-000486,otorgante
mx-sv-per-001620,mx-sv-doc-000486,intermediario
mx-sv-per-001621,mx-sv-doc-000486,comprador
mx-sv-per-001623,mx-sv-doc-000487,otorgante
mx-sv-per-001624,mx-sv-doc-000487,Prestamista
mx-sv-per-001624,mx-sv-doc-000488,otorgante
mx-sv-per-001623,mx-sv-doc-000488,comprador
mx-sv-per-003646,mx-sv-doc-001249,Dueño Difunto
mx-sv-per-003647,mx-sv-doc-001249,Albacea
mx-sv-per-003648,mx-sv-doc-001249,Albacea
mx-sv-per-003648,mx-sv-doc-001249,Vendedor
mx-sv-per-003647,mx-sv-doc-001249,Vendedor
mx-sv-per-003649,mx-sv-doc-001249,comprador
mx-sv-per-008856,mx-sv-doc-003301,Vendedor
mx-sv-per-008393,mx-sv-doc-003301,comprador
mx-sv-per-007099,mx-sv-doc-003013,Vendedor
mx-sv-per-008371,mx-sv-doc-003013,comprador
mx-sv-per-008645,mx-sv-doc-003160,Vendedor
mx-sv-per-008646,mx-sv-doc-003160,Vendedor
mx-sv-per-008647,mx-sv-doc-003160,comprador
mx-sv-per-001627,mx-sv-doc-000489,otorgante
mx-sv-per-001628,mx-sv-doc-000489,comprador
mx-sv-per-001631,mx-sv-doc-000490,otorgante
mx-sv-per-001632,mx-sv-doc-000490,comprador
mx-sv-per-001634,mx-sv-doc-000491,otorgante
mx-sv-per-001635,mx-sv-doc-000491,comprador
mx-sv-per-000460,mx-sv-doc-000492,otorgante
mx-sv-per-001637,mx-sv-doc-000492,comprador
mx-sv-per-001639,mx-sv-doc-000493,otorgante
mx-sv-per-001473,mx-sv-doc-000493,comprador
mx-sv-per-001641,mx-sv-doc-000494,otorgante
mx-sv-per-001642,mx-sv-doc-000494,comprador
mx-sv-per-001644,mx-sv-doc-000495,otorgante
mx-sv-per-001645,mx-sv-doc-000495,comprador
mx-sv-per-001647,mx-sv-doc-000496,otorgante
mx-sv-per-001648,mx-sv-doc-000496,comprador
mx-sv-per-001650,mx-sv-doc-000497,otorgante
mx-sv-per-000767,mx-sv-doc-000497,comprador
mx-sv-per-008858,mx-sv-doc-003302,Vendedor
mx-sv-per-008859,mx-sv-doc-003302,Vendedor
mx-sv-per-008860,mx-sv-doc-003302,intermediario
mx-sv-per-008861,mx-sv-doc-003302,comprador
mx-sv-per-007076,mx-sv-doc-003014,Dueño Difunto
mx-sv-per-006555,mx-sv-doc-003014,Albacea
mx-sv-per-008373,mx-sv-doc-003014,comprador
mx-sv-per-008649,mx-sv-doc-003161,Vendedor
mx-sv-per-008650,mx-sv-doc-003161,comprador
mx-sv-per-001774,mx-sv-doc-000540,otorgante
mx-sv-per-001775,mx-sv-doc-000540,comprador
mx-sv-per-001652,mx-sv-doc-000498,otorgante
mx-sv-per-001653,mx-sv-doc-000498,otorgante
mx-sv-per-001654,mx-sv-doc-000498,comprador
mx-sv-per-001524,mx-sv-doc-000499,otorgante
mx-sv-per-001656,mx-sv-doc-000499,comprador
mx-sv-per-001524,mx-sv-doc-000500,otorgante
mx-sv-per-001658,mx-sv-doc-000500,comprador
mx-sv-per-001660,mx-sv-doc-000501,otorgante
mx-sv-per-001473,mx-sv-doc-000501,comprador
mx-sv-per-001662,mx-sv-doc-000502,otorgante
mx-sv-per-000567,mx-sv-doc-000502,comprador
mx-sv-per-001664,mx-sv-doc-000503,otorgante
mx-sv-per-001665,mx-sv-doc-000503,comprador
mx-sv-per-001667,mx-sv-doc-000504,otorgante
mx-sv-per-001668,mx-sv-doc-000504,comprador
mx-sv-per-001670,mx-sv-doc-000505,otorgante
mx-sv-per-000567,mx-sv-doc-000505,comprador
mx-sv-per-001672,mx-sv-doc-000506,otorgante
mx-sv-per-001513,mx-sv-doc-000506,comprador
mx-sv-per-008375,mx-sv-doc-003015,Vendedor
mx-sv-per-008376,mx-sv-doc-003015,intermediario
mx-sv-per-007538,mx-sv-doc-003015,comprador
mx-sv-per-001674,mx-sv-doc-000507,otorgante
mx-sv-per-001675,mx-sv-doc-000507,comprador
mx-sv-per-001677,mx-sv-doc-000508,otorgante
mx-sv-per-001678,mx-sv-doc-000508,comprador
mx-sv-per-001679,mx-sv-doc-000508,Pagador
mx-sv-per-001681,mx-sv-doc-000509,otorgante
mx-sv-per-001682,mx-sv-doc-000509,comprador
mx-sv-per-001685,mx-sv-doc-000510,otorgante
mx-sv-per-001686,mx-sv-doc-000510,intermediario
mx-sv-per-001687,mx-sv-doc-000510,comprador
mx-sv-per-001689,mx-sv-doc-000511,otorgante
mx-sv-per-001690,mx-sv-doc-000511,comprador
mx-sv-per-001692,mx-sv-doc-000512,otorgante
mx-sv-per-001693,mx-sv-doc-000512,comprador
mx-sv-per-001695,mx-sv-doc-000513,otorgante
mx-sv-per-001696,mx-sv-doc-000513,comprador
mx-sv-per-002904,mx-sv-doc-001330,Vendedor
mx-sv-per-003655,mx-sv-doc-001330,comprador
mx-sv-per-008148,mx-sv-doc-003016,Vendedor
mx-sv-per-003454,mx-sv-doc-003016,intermediario
mx-sv-per-007105,mx-sv-doc-003016,comprador
mx-sv-per-001699,mx-sv-doc-000514,otorgante
mx-sv-per-001700,mx-sv-doc-000514,comprador
mx-sv-per-001702,mx-sv-doc-000515,otorgante
mx-sv-per-001703,mx-sv-doc-000515,comprador
mx-sv-per-001702,mx-sv-doc-000516,otorgante
mx-sv-per-001703,mx-sv-doc-000516,comprador
mx-sv-per-001706,mx-sv-doc-000517,otorgante
mx-sv-per-001707,mx-sv-doc-000517,comprador
mx-sv-per-001708,mx-sv-doc-000517,comprador
mx-sv-per-001711,mx-sv-doc-000518,otorgante
mx-sv-per-000561,mx-sv-doc-000518,comprador
mx-sv-per-000812,mx-sv-doc-000541,otorgante
mx-sv-per-000812,mx-sv-doc-000541,Apoderado
mx-sv-per-000217,mx-sv-doc-000541,dueño anterior
mx-sv-per-000217,mx-sv-doc-000541,Testador
mx-sv-per-001713,mx-sv-doc-000519,otorgante
mx-sv-per-001714,mx-sv-doc-000519,comprador
mx-sv-per-003551,mx-sv-doc-001206,Vendedor
mx-sv-per-002556,mx-sv-doc-001206,comprador
mx-sv-per-007556,mx-sv-doc-003304,Vendedor
mx-sv-per-008270,mx-sv-doc-003304,Vendedor
mx-sv-per-008866,mx-sv-doc-003304,comprador
mx-sv-per-007568,mx-sv-doc-003017,Vendedor
mx-sv-per-007123,mx-sv-doc-003017,comprador
mx-sv-per-008379,mx-sv-doc-003017,comprador
mx-sv-per-008654,mx-sv-doc-003164,Vendedor
mx-sv-per-008655,mx-sv-doc-003164,comprador
mx-sv-per-001645,mx-sv-doc-000520,otorgante
mx-sv-per-001716,mx-sv-doc-000520,comprador
mx-sv-per-001718,mx-sv-doc-000521,otorgante
mx-sv-per-001719,mx-sv-doc-000521,comprador
mx-sv-per-001721,mx-sv-doc-000522,otorgante
mx-sv-per-001722,mx-sv-doc-000522,comprador
mx-sv-per-001480,mx-sv-doc-000523,otorgante
mx-sv-per-001724,mx-sv-doc-000523,comprador
mx-sv-per-001725,mx-sv-doc-000523,Pagador
mx-sv-per-001727,mx-sv-doc-000524,otorgante
mx-sv-per-001728,mx-sv-doc-000524,comprador
mx-sv-per-001730,mx-sv-doc-000525,otorgante
mx-sv-per-001480,mx-sv-doc-000525,comprador
mx-sv-per-001732,mx-sv-doc-000526,otorgante
mx-sv-per-001585,mx-sv-doc-000526,comprador
mx-sv-per-001732,mx-sv-doc-000527,otorgante
mx-sv-per-001734,mx-sv-doc-000527,comprador
mx-sv-per-001585,mx-sv-doc-000527,Apoderado
mx-sv-per-008869,mx-sv-doc-003305,Vendedor
mx-sv-per-008870,mx-sv-doc-003305,intermediario
mx-sv-per-008270,mx-sv-doc-003305,comprador
mx-sv-per-003286,mx-sv-doc-003018,Vendedor
mx-sv-per-008381,mx-sv-doc-003018,intermediario
mx-sv-per-007123,mx-sv-doc-003018,Vendedor
mx-sv-per-008379,mx-sv-doc-003018,Vendedor
mx-sv-per-001122,mx-sv-doc-003165,Apoderado
mx-sv-per-008300,mx-sv-doc-003165,Vendedor
mx-sv-per-008657,mx-sv-doc-003165,comprador
mx-sv-per-001719,mx-sv-doc-000528,otorgante
mx-sv-per-001732,mx-sv-doc-000529,otorgante
mx-sv-per-001585,mx-sv-doc-000529,comprador
mx-sv-per-001737,mx-sv-doc-000530,otorgante
mx-sv-per-001738,mx-sv-doc-000530,intermediario
mx-sv-per-001739,mx-sv-doc-000530,comprador
mx-sv-per-001480,mx-sv-doc-000531,otorgante
mx-sv-per-001740,mx-sv-doc-000531,comprador
mx-sv-per-001728,mx-sv-doc-000532,otorgante
mx-sv-per-001742,mx-sv-doc-000532,comprador
mx-sv-per-002610,mx-sv-doc-001207,Dueño Difunto
mx-sv-per-003553,mx-sv-doc-001207,comprador
mx-sv-per-008872,mx-sv-doc-003306,Vendedor
mx-sv-per-008219,mx-sv-doc-003306,intermediario
mx-sv-per-008383,mx-sv-doc-003019,Vendedor
mx-sv-per-003005,mx-sv-doc-003019,intermediario
mx-sv-per-003787,mx-sv-doc-003019,comprador
mx-sv-per-008659,mx-sv-doc-003166,Vendedor
mx-sv-per-008660,mx-sv-doc-003166,comprador
mx-sv-per-001744,mx-sv-doc-000533,otorgante
mx-sv-per-001745,mx-sv-doc-000533,comprador
mx-sv-per-000857,mx-sv-doc-000533,Pagador
mx-sv-per-001748,mx-sv-doc-000534,otorgante
mx-sv-per-001749,mx-sv-doc-000534,comprador
mx-sv-per-001751,mx-sv-doc-000535,otorgante
mx-sv-per-001752,mx-sv-doc-000535,comprador
mx-sv-per-001753,mx-sv-doc-000535,Pagador
mx-sv-per-001585,mx-sv-doc-000536,comprador
mx-sv-per-001755,mx-sv-doc-000536,otorgante
mx-sv-per-001757,mx-sv-doc-000537,otorgante
mx-sv-per-001734,mx-sv-doc-000537,comprador
mx-sv-per-001585,mx-sv-doc-000537,Pagador
mx-sv-per-001757,mx-sv-doc-000538,otorgante
mx-sv-per-001585,mx-sv-doc-000538,comprador
mx-sv-per-001788,mx-sv-doc-000544,Heredero
mx-sv-per-001789,mx-sv-doc-000544,Testador
mx-sv-per-001792,mx-sv-doc-000545,otorgante
mx-sv-per-001793,mx-sv-doc-000545,comprador
mx-sv-per-001794,mx-sv-doc-000545,dueño anterior
mx-sv-per-000812,mx-sv-doc-000546,otorgante
mx-sv-per-001375,mx-sv-doc-000546,comprador
mx-sv-per-000887,mx-sv-doc-000546,dueño anterior
mx-sv-per-008874,mx-sv-doc-003307,Vendedor
mx-sv-per-008875,mx-sv-doc-003307,comprador
mx-sv-per-008385,mx-sv-doc-003020,Vendedor
mx-sv-per-008386,mx-sv-doc-003020,Vendedor
mx-sv-per-004056,mx-sv-doc-003020,comprador
mx-sv-per-001797,mx-sv-doc-000547,Vendedor
mx-sv-per-001798,mx-sv-doc-000547,comprador
mx-sv-per-001799,mx-sv-doc-000547,Escribano
mx-sv-per-001800,mx-sv-doc-000547,Testigo
mx-sv-per-001801,mx-sv-doc-000547,Testigo
mx-sv-per-001802,mx-sv-doc-000547,Testigo
mx-sv-per-001805,mx-sv-doc-000548,otorgante
mx-sv-per-001806,mx-sv-doc-000548,comprador
mx-sv-per-000941,mx-sv-doc-000549,otorgante
mx-sv-per-001809,mx-sv-doc-000549,Recipiente De La Donación
mx-sv-per-001811,mx-sv-doc-000550,otorgante
mx-sv-per-001812,mx-sv-doc-000550,comprador
mx-sv-per-000787,mx-sv-doc-000550,dueño anterior
mx-sv-per-001364,mx-sv-doc-000551,otorgante
mx-sv-per-000636,mx-sv-doc-000551,comprador
mx-sv-per-000657,mx-sv-doc-000551,dueño anterior
mx-sv-per-001815,mx-sv-doc-000552,otorgante
mx-sv-per-001816,mx-sv-doc-000552,otorgante
mx-sv-per-001817,mx-sv-doc-000552,dueño anterior
mx-sv-per-001818,mx-sv-doc-000552,comprador
mx-sv-per-000010,mx-sv-doc-000553,otorgante
mx-sv-per-001820,mx-sv-doc-000553,otorgante
mx-sv-per-000636,mx-sv-doc-000553,comprador
mx-sv-per-001821,mx-sv-doc-000553,dueño anterior
mx-sv-per-000812,mx-sv-doc-000554,otorgante
mx-sv-per-001824,mx-sv-doc-000554,comprador
mx-sv-per-001825,mx-sv-doc-000554,dueño anterior
mx-sv-per-001826,mx-sv-doc-000554,Otorgante Del Poder
mx-sv-per-001828,mx-sv-doc-000555,otorgante
mx-sv-per-000636,mx-sv-doc-000555,comprador
mx-sv-per-001829,mx-sv-doc-000555,dueño anterior
mx-sv-per-001831,mx-sv-doc-000556,otorgante
mx-sv-per-001832,mx-sv-doc-000556,comprador
mx-sv-per-001833,mx-sv-doc-000556,dueño anterior
mx-sv-per-001836,mx-sv-doc-000557,otorgante
mx-sv-per-001373,mx-sv-doc-000557,comprador
mx-sv-per-001837,mx-sv-doc-000557,dueño anterior
mx-sv-per-008318,mx-sv-doc-003308,Vendedor
mx-sv-per-008388,mx-sv-doc-003021,Vendedor
mx-sv-per-008389,mx-sv-doc-003021,Vendedor
mx-sv-per-008390,mx-sv-doc-003021,comprador
mx-sv-per-008642,mx-sv-doc-003168,Vendedor
mx-sv-per-008661,mx-sv-doc-003168,intermediario
mx-sv-per-008662,mx-sv-doc-003168,comprador
mx-sv-per-001547,mx-sv-doc-000558,otorgante
mx-sv-per-001840,mx-sv-doc-000558,comprador
mx-sv-per-001842,mx-sv-doc-000559,otorgante
mx-sv-per-000636,mx-sv-doc-000559,comprador
mx-sv-per-001843,mx-sv-doc-000559,dueño anterior
mx-sv-per-001848,mx-sv-doc-000560,otorgante
mx-sv-per-001850,mx-sv-doc-000560,intermediario
mx-sv-per-001851,mx-sv-doc-000560,comprador
mx-sv-per-001550,mx-sv-doc-000561,otorgante
mx-sv-per-001846,mx-sv-doc-000561,comprador
mx-sv-per-001847,mx-sv-doc-000561,dueño anterior
mx-sv-per-001861,mx-sv-doc-000562,otorgante
mx-sv-per-000611,mx-sv-doc-000562,otorgante
mx-sv-per-001862,mx-sv-doc-000562,dueño anterior
mx-sv-per-001866,mx-sv-doc-000563,otorgante
mx-sv-per-001867,mx-sv-doc-000563,comprador
mx-sv-per-001585,mx-sv-doc-000564,intermediario
mx-sv-per-001869,mx-sv-doc-000564,otorgante
mx-sv-per-001870,mx-sv-doc-000564,dueño anterior
mx-sv-per-001872,mx-sv-doc-000565,otorgante
mx-sv-per-001873,mx-sv-doc-000565,otorgante
mx-sv-per-001874,mx-sv-doc-000565,comprador
mx-sv-per-001279,mx-sv-doc-000566,otorgante
mx-sv-per-001936,mx-sv-doc-000566,comprador
mx-sv-per-003555,mx-sv-doc-001208,Vendedor
mx-sv-per-002660,mx-sv-doc-001208,Vendedor
mx-sv-per-003252,mx-sv-doc-001208,comprador
mx-sv-per-008748,mx-sv-doc-003309,Vendedor
mx-sv-per-008879,mx-sv-doc-003309,comprador
mx-sv-per-008392,mx-sv-doc-003022,Vendedor
mx-sv-per-008393,mx-sv-doc-003022,comprador
mx-sv-per-001878,mx-sv-doc-000567,otorgante
mx-sv-per-001879,mx-sv-doc-000567,comprador
mx-sv-per-001881,mx-sv-doc-000568,otorgante
mx-sv-per-001585,mx-sv-doc-000568,comprador
mx-sv-per-001883,mx-sv-doc-000569,otorgante
mx-sv-per-001884,mx-sv-doc-000569,Dueño Difunto
mx-sv-per-001885,mx-sv-doc-000569,comprador
mx-sv-per-001887,mx-sv-doc-000570,otorgante
mx-sv-per-001885,mx-sv-doc-000570,comprador
mx-sv-per-001889,mx-sv-doc-000571,otorgante
mx-sv-per-001890,mx-sv-doc-000571,comprador
mx-sv-per-001893,mx-sv-doc-000572,otorgante
mx-sv-per-001894,mx-sv-doc-000572,Pagador
mx-sv-per-001897,mx-sv-doc-000574,otorgante
mx-sv-per-001898,mx-sv-doc-000574,Dueño Difunto
mx-sv-per-001899,mx-sv-doc-000574,comprador
mx-sv-per-001900,mx-sv-doc-000574,Pagador
mx-sv-per-003557,mx-sv-doc-001209,Vendedor
mx-sv-per-003558,mx-sv-doc-001209,Vendedor
mx-sv-per-003559,mx-sv-doc-001209,comprador
mx-sv-per-008562,mx-sv-doc-003310,Vendedor
mx-sv-per-008881,mx-sv-doc-003310,comprador
mx-sv-per-008395,mx-sv-doc-003023,Vendedor
mx-sv-per-006170,mx-sv-doc-003023,comprador
mx-sv-per-001902,mx-sv-doc-000575,otorgante
mx-sv-per-001748,mx-sv-doc-000575,Pagador
mx-sv-per-001904,mx-sv-doc-000576,otorgante
mx-sv-per-001905,mx-sv-doc-000576,comprador
mx-sv-per-001907,mx-sv-doc-000577,otorgante
mx-sv-per-001908,mx-sv-doc-000577,comprador
mx-sv-per-001410,mx-sv-doc-000596,Vendedor
mx-sv-per-001961,mx-sv-doc-000596,comprador
mx-sv-per-001910,mx-sv-doc-000578,otorgante
mx-sv-per-001911,mx-sv-doc-000578,comprador
mx-sv-per-001913,mx-sv-doc-000580,otorgante
mx-sv-per-001914,mx-sv-doc-000580,comprador
mx-sv-per-001905,mx-sv-doc-000581,otorgante
mx-sv-per-001916,mx-sv-doc-000581,comprador
mx-sv-per-001920,mx-sv-doc-000582,otorgante
mx-sv-per-001921,mx-sv-doc-000582,comprador
mx-sv-per-003344,mx-sv-doc-003024,Vendedor
mx-sv-per-008397,mx-sv-doc-003024,comprador
mx-sv-per-001923,mx-sv-doc-000583,otorgante
mx-sv-per-001924,mx-sv-doc-000583,intermediario
mx-sv-per-001925,mx-sv-doc-000583,comprador
mx-sv-per-001928,mx-sv-doc-000584,otorgante
mx-sv-per-001929,mx-sv-doc-000584,intermediario
mx-sv-per-001930,mx-sv-doc-000584,comprador
mx-sv-per-001932,mx-sv-doc-000585,otorgante
mx-sv-per-001933,mx-sv-doc-000585,comprador
mx-sv-per-001938,mx-sv-doc-000586,otorgante
mx-sv-per-001373,mx-sv-doc-000586,comprador
mx-sv-per-000653,mx-sv-doc-000587,otorgante
mx-sv-per-001410,mx-sv-doc-000589,Vendedor
mx-sv-per-001944,mx-sv-doc-000589,comprador
mx-sv-per-001575,mx-sv-doc-000590,Vendedor
mx-sv-per-001948,mx-sv-doc-000590,comprador
mx-sv-per-002944,mx-sv-doc-001210,Vendedor
mx-sv-per-003561,mx-sv-doc-001210,comprador
mx-sv-per-003563,mx-sv-doc-001211,Vendedor
mx-sv-per-003564,mx-sv-doc-001211,comprador
mx-sv-per-008399,mx-sv-doc-003025,Dueño Difunto
mx-sv-per-008400,mx-sv-doc-003025,Albacea
mx-sv-per-008401,mx-sv-doc-003025,comprador
mx-sv-per-001950,mx-sv-doc-000591,otorgante
mx-sv-per-001921,mx-sv-doc-000591,comprador
mx-sv-per-001953,mx-sv-doc-000592,otorgante
mx-sv-per-001954,mx-sv-doc-000592,comprador
mx-sv-per-002261,mx-sv-doc-000698,Testigo
mx-sv-per-002262,mx-sv-doc-000698,Testigo
mx-sv-per-002260,mx-sv-doc-000698,comprador
mx-sv-per-002259,mx-sv-doc-000698,otorgante
mx-sv-per-001932,mx-sv-doc-000593,otorgante
mx-sv-per-001878,mx-sv-doc-000594,otorgante
mx-sv-per-001956,mx-sv-doc-000594,comprador
mx-sv-per-001958,mx-sv-doc-000595,otorgante
mx-sv-per-001959,mx-sv-doc-000595,intermediario
mx-sv-per-001588,mx-sv-doc-000595,comprador
mx-sv-per-001575,mx-sv-doc-000597,Vendedor
mx-sv-per-001964,mx-sv-doc-000597,comprador
mx-sv-per-008403,mx-sv-doc-003026,Vendedor
mx-sv-per-008404,mx-sv-doc-003026,comprador
mx-sv-per-001966,mx-sv-doc-000598,Vendedor
mx-sv-per-001966,mx-sv-doc-000598,Otorgante Del Poder
mx-sv-per-001967,mx-sv-doc-000598,intermediario
mx-sv-per-001968,mx-sv-doc-000598,comprador
mx-sv-per-001970,mx-sv-doc-000599,Vendedor
mx-sv-per-001578,mx-sv-doc-000599,comprador
mx-sv-per-001196,mx-sv-doc-000600,Vendedor
mx-sv-per-001053,mx-sv-doc-000600,comprador
mx-sv-per-001410,mx-sv-doc-000601,Vendedor
mx-sv-per-001973,mx-sv-doc-000601,comprador
mx-sv-per-001975,mx-sv-doc-000602,Vendedor
mx-sv-per-001570,mx-sv-doc-000602,comprador
mx-sv-per-001977,mx-sv-doc-000603,otorgante
mx-sv-per-001979,mx-sv-doc-000603,comprador
mx-sv-per-001981,mx-sv-doc-000604,otorgante
mx-sv-per-001982,mx-sv-doc-000604,comprador
mx-sv-per-001985,mx-sv-doc-000605,otorgante
mx-sv-per-001986,mx-sv-doc-000605,otorgante
mx-sv-per-001987,mx-sv-doc-000605,comprador
mx-sv-per-005400,mx-sv-doc-002278,Testigo
mx-sv-per-005398,mx-sv-doc-002278,Testigo
mx-sv-per-005399,mx-sv-doc-002278,Testigo
mx-sv-per-005397,mx-sv-doc-002278,Vendedor
mx-sv-per-005396,mx-sv-doc-002278,comprador
mx-sv-per-008406,mx-sv-doc-003027,Vendedor
mx-sv-per-003504,mx-sv-doc-003027,comprador
mx-sv-per-001991,mx-sv-doc-000606,otorgante
mx-sv-per-001992,mx-sv-doc-000606,comprador
mx-sv-per-001472,mx-sv-doc-000607,otorgante
mx-sv-per-001994,mx-sv-doc-000607,comprador
mx-sv-per-001996,mx-sv-doc-000608,otorgante
mx-sv-per-001997,mx-sv-doc-000608,comprador
mx-sv-per-001999,mx-sv-doc-000609,otorgante
mx-sv-per-001921,mx-sv-doc-000609,comprador
mx-sv-per-002001,mx-sv-doc-000610,otorgante
mx-sv-per-002002,mx-sv-doc-000610,intermediario
mx-sv-per-002003,mx-sv-doc-000610,comprador
mx-sv-per-002005,mx-sv-doc-000611,otorgante
mx-sv-per-001703,mx-sv-doc-000611,comprador
mx-sv-per-002007,mx-sv-doc-000612,otorgante
mx-sv-per-001093,mx-sv-doc-000612,comprador
mx-sv-per-008408,mx-sv-doc-003028,Dueño Difunto
mx-sv-per-008409,mx-sv-doc-003028,Albacea
mx-sv-per-003982,mx-sv-doc-003028,comprador
mx-sv-per-002010,mx-sv-doc-000613,comprador
mx-sv-per-002009,mx-sv-doc-000613,otorgante
mx-sv-per-002012,mx-sv-doc-000614,otorgante
mx-sv-per-000653,mx-sv-doc-000614,comprador
mx-sv-per-002013,mx-sv-doc-000614,dueño anterior
mx-sv-per-001287,mx-sv-doc-000615,otorgante
mx-sv-per-002017,mx-sv-doc-000615,comprador
mx-sv-per-002018,mx-sv-doc-000615,dueño anterior
mx-sv-per-002020,mx-sv-doc-000616,otorgante
mx-sv-per-002021,mx-sv-doc-000616,comprador
mx-sv-per-000887,mx-sv-doc-000616,dueño anterior
mx-sv-per-000354,mx-sv-doc-000617,otorgante
mx-sv-per-002023,mx-sv-doc-000617,comprador
mx-sv-per-002024,mx-sv-doc-000617,dueño anterior
mx-sv-per-002025,mx-sv-doc-000617,dueño anterior
mx-sv-per-002028,mx-sv-doc-000618,otorgante
mx-sv-per-000076,mx-sv-doc-000618,dueño anterior
mx-sv-per-002030,mx-sv-doc-000619,otorgante
mx-sv-per-000657,mx-sv-doc-000619,otorgante
mx-sv-per-001812,mx-sv-doc-000619,otorgante
mx-sv-per-001554,mx-sv-doc-000619,otorgante
mx-sv-per-001027,mx-sv-doc-000620,otorgante
mx-sv-per-001025,mx-sv-doc-000620,otorgante
mx-sv-per-002032,mx-sv-doc-000620,comprador
mx-sv-per-000657,mx-sv-doc-000621,otorgante
mx-sv-per-001812,mx-sv-doc-000621,otorgante
mx-sv-per-001554,mx-sv-doc-000621,otorgante
mx-sv-per-002036,mx-sv-doc-000622,comprador
mx-sv-per-002035,mx-sv-doc-000622,otorgante
mx-sv-per-002037,mx-sv-doc-000622,dueño anterior
mx-sv-per-001836,mx-sv-doc-000623,otorgante
mx-sv-per-002040,mx-sv-doc-000623,comprador
mx-sv-per-002041,mx-sv-doc-000623,dueño anterior
mx-sv-per-002044,mx-sv-doc-000624,comprador
mx-sv-per-002043,mx-sv-doc-000624,otorgante
mx-sv-per-002043,mx-sv-doc-000625,otorgante
mx-sv-per-002013,mx-sv-doc-000625,comprador
mx-sv-per-002043,mx-sv-doc-000626,otorgante
mx-sv-per-002047,mx-sv-doc-000626,comprador
mx-sv-per-008413,mx-sv-doc-003029,intermediario
mx-sv-per-008412,mx-sv-doc-003029,Vendedor
mx-sv-per-004017,mx-sv-doc-003029,comprador
mx-sv-per-002043,mx-sv-doc-000627,otorgante
mx-sv-per-002049,mx-sv-doc-000627,comprador
mx-sv-per-002043,mx-sv-doc-000628,otorgante
mx-sv-per-002051,mx-sv-doc-000628,comprador
mx-sv-per-002043,mx-sv-doc-000629,otorgante
mx-sv-per-002053,mx-sv-doc-000629,comprador
mx-sv-per-002043,mx-sv-doc-000630,otorgante
mx-sv-per-002055,mx-sv-doc-000630,comprador
mx-sv-per-002043,mx-sv-doc-000631,otorgante
mx-sv-per-002057,mx-sv-doc-000631,comprador
mx-sv-per-002060,mx-sv-doc-000632,comprador
mx-sv-per-002059,mx-sv-doc-000632,otorgante
mx-sv-per-002059,mx-sv-doc-000633,otorgante
mx-sv-per-002062,mx-sv-doc-000633,comprador
mx-sv-per-002059,mx-sv-doc-000634,otorgante
mx-sv-per-000606,mx-sv-doc-000634,comprador
mx-sv-per-002059,mx-sv-doc-000635,otorgante
